"STOP MISSILE LAUNCH", "DỪNG PHÓNG TÊN LỬA"
"FIND YELLOW CIRCLES ON MAP", "TÌM VÒNG TRÒN MÀU VÀNG TRÊN BẢN ĐỒ"
"STOP PEOPLE LAUNCHING MISSILE", "NGĂN KẺ ĐANG PHÓNG TÊN LỬA"
"Invert Y Axis", "Đảo trục Y"
"Color Blind", "Chế độ mù màu"
"Press F to Drop Package", "Nhấn F để thả gói hàng"
"FIND THE PACKAGE [WHITE STAR ON MAP]", "TÌM GÓI HÀNG [NGÔI SAO TRẮNG TRÊN BẢN ĐỒ]"
"PICK IT UP", "NHẶT NÓ"
"DROP OFF AT GREEN CIRCLE", "GIAO Ở VÒNG TRÒN XANH LÁ"
"Deliver package to green circle on minimap", "Giao gói hàng tới vòng tròn xanh lá trên bản đồ nhỏ"
"Get the package, white star on minimap", "Lấy gói hàng, ngôi sao trắng trên bản đồ nhỏ"
"Defend the package carrier", "Bảo vệ người mang gói hàng"
"Stop the package carrier, flashing star on minimap", "Ngăn người mang gói hàng, ngôi sao nhấp nháy trên bản đồ nhỏ"
"Hop in, I'll give you a ride", "Lên đi, tôi chở bạn"
"I need a ride", "Tôi cần quá giang"
"Launch Missile #1", "Phóng tên lửa số 1"
"Launch Missile #2", "Phóng tên lửa số 2"
"Launch Missile #3", "Phóng tên lửa số 3"
"Defend Missile #1", "Bảo vệ tên lửa số 1"
"Defend Missile #2", "Bảo vệ tên lửa số 2"
"Defend Missile #3", "Bảo vệ tên lửa số 3"
"Defend the package carrier (flashing green/white star on the map)", "Bảo vệ người mang gói hàng (ngôi sao xanh lá/trắng nhấp nháy trên bản đồ)"
"Package carrier deliver the package to the drop off point (green circle on map)", "Người mang gói hàng giao gói hàng tới điểm giao (vòng tròn xanh lá trên bản đồ)"
"Drop the package I'll carry it", "Thả gói hàng, tôi sẽ mang"
"Pickup the package (white star on the mini-map)", "Nhặt gói hàng (ngôi sao trắng trên bản đồ nhỏ)"
"Kill the enemy carrying the package (flashing red/yellow star on the mini-map)", "Giết kẻ địch đang mang gói hàng (ngôi sao đỏ/vàng nhấp nháy trên bản đồ nhỏ)"
"Enemy on top of mountain", "Địch trên đỉnh núi"
"Group up to help each other", "Tập hợp để hỗ trợ nhau"
"Enemy on top of buildings", "Địch trên nóc tòa nhà"
"Enemy close", "Địch ở gần"
"Taking enemy fire", "Đang bị địch bắn"
"Kill the enemy helicopter", "Phá hủy trực thăng địch"
"Kill the enemy vehicle", "Phá hủy phương tiện địch"
"Death Match", "Đấu tử"
"Capture Flags", "Chiếm cờ"
"Package Drop", "Thả gói hàng"
"Missile Launch", "Phóng tên lửa"
"Team", "Đội"
"CLICK HERE TO SELECT MISSILE LAUNCH", "NHẤN VÀO ĐÂY ĐỂ CHỌN PHÓNG TÊN LỬA"
"CLICK HERE TO SELECT PACKAGE DROP", "NHẤN VÀO ĐÂY ĐỂ CHỌN THẢ GÓI HÀNG"
"CLICK HERE TO SELECT DEATH MATCH", "NHẤN VÀO ĐÂY ĐỂ CHỌN ĐẤU TỬ"
"NEXT GAME MODE VOTE", "BỎ PHIẾU CHỌN CHẾ ĐỘ TIẾP THEO"
"CLICK HERE TO SELECT TEAM DEATH MATCH", "NHẤN VÀO ĐÂY ĐỂ CHỌN ĐẤU TỬ ĐỒNG ĐỘI"
"Team Death Match", "Đấu tử đồng đội"
"Server will restart at end of round", "Máy chủ sẽ khởi động lại khi kết thúc vòng"
"Bomb Disposal", "Gỡ bom"
"MISSILE LAUNCH / BOMB DISPOSAL", "PHÓNG TÊN LỬA / GỠ BOM"
"PACKAGE DROP", "THẢ GÓI HÀNG"
"TEAM DEATH MATCH", "ĐẤU TỬ ĐỒNG ĐỘI"
"Bomb Diffusal Starts In", "Bắt đầu gỡ bom trong"
"Disarm Bombs!", "Vô hiệu hóa bom!"
"Stop enemy team!", "Ngăn đội địch!"
"Bombs Disarmed", "Bom đã được gỡ"
"DISARM BOMBS", "GỠ BOM"
"HOLD F TO DISARM", "GIỮ F ĐỂ GỠ"
"STOP ENEMY TEAM", "NGĂN ĐỘI ĐỊCH"
"STOP PEOPLE DISARMING BOMBS", "NGĂN NGƯỜI GỠ BOM"
"YELLOW = BEING DISARMED", "VÀNG = ĐANG GỠ"
"RED = DISARMED", "ĐỎ = ĐÃ GỠ"
"GREEN = ARMED", "XANH = ĐÃ KÍCH HOẠT"
"Hold F to Disarm Bomb", "Giữ F để gỡ bom"
"Move", "Di chuyển"
"Fire", "Bắn"
"Zoom", "Phóng to"
"Look", "Nhìn"
"Weapon 1", "Vũ khí 1"
"Weapon 2", "Vũ khí 2"
"Crouch", "Ngồi"
"Reload", "Nạp đạn"
"Jump", "Nhảy"
"Pistol Death Match Starts In", "Đấu tử súng lục bắt đầu trong"
"Pistol Death Match", "Đấu tử súng lục"
"NEXT MAP VOTE", "BỎ PHIẾU CHỌN BẢN ĐỒ TIẾP"
"BOMB DISPOSAL", "GỠ BOM"
"PISTOL DEATH MATCH", "ĐẤU TỬ SÚNG LỤC"
"MISSILE LAUNCH", "PHÓNG TÊN LỬA"
"Disarm Bomb #1", "Gỡ bom số 1"
"Disarm Bomb #2", "Gỡ bom số 2"
"Disarm Bomb #3", "Gỡ bom số 3"
"Defend Bomb #1", "Bảo vệ bom số 1"
"Defend Bomb #2", "Bảo vệ bom số 2"
"Defend Bomb #3", "Bảo vệ bom số 3"
"DESERT", "SA MẠC"
"NORTHWEST", "TÂY BẮC"
"PACIFIC", "THÁI BÌNH DƯƠNG"
"OFFICE", "VĂN PHÒNG"
"FLOODED", "NGẬP LỤT"
"Blood Overlay", "Hiệu ứng máu"
"NEXT MAP", "BẢN ĐỒ TIẾP"
"Knife", "Dao"
"Parachute", "Dù"
"Hold Breath", "Nín thở"
"Server will restart in", "Máy chủ sẽ khởi động lại trong"
"Please rejoin when this happens.", "Vui lòng tham gia lại khi điều này xảy ra."
"Heli Mini Gun", "Súng mini trên trực thăng"
"Tank Mini Gun", "Súng mini trên xe tăng"
"Socket Test", "Kiểm tra kết nối"
"Exit Vehicle", "Rời phương tiện"
"Drop Package", "Thả gói hàng"
"Default Spawn", "Điểm xuất hiện mặc định"
"Click on green area to parachute in on that spot", "Nhấn vào vùng xanh để nhảy dù xuống vị trí đó"
"E Brake", "Phanh tay"
"TEMPLE", "ĐỀN"
"Blood", "Máu"
"Drop Flare", "Thả pháo sáng"
"LOCKED", "KHÓA"
"Press ENTER or Left Shift...", "Nhấn ENTER hoặc Shift trái..."
"Deliver package", "Giao gói hàng"
"Get the package", "Lấy gói hàng"
"Stop the package carrier", "Ngăn người mang gói hàng"
"Revolver", "Súng lục ổ xoay"
"Minigun", "Súng mini"
"Deliver the package to green circle", "Giao gói hàng tới vòng tròn xanh"
"Pickup the package", "Nhặt gói hàng"
"Kill the enemy carrying the package", "Giết kẻ địch mang gói hàng"
"Choose a longer nick", "Chọn biệt danh dài hơn"
"Error! Nick already in use!", "Lỗi! Biệt danh đã được sử dụng!"
"Set your unique nick", "Đặt biệt danh duy nhất của bạn"
"Bored of your current unique nick?  Buy a different one!", "Chán biệt danh hiện tại? Mua cái khác!"
"Make sure no one can steal your nick. Lock in your nick!", "Đảm bảo không ai lấy được biệt danh của bạn. Khóa biệt danh của bạn!"
"To view your full stats, please sign in using Google, Facebook, VK, Twitch or Steam.", "Để xem toàn bộ thống kê, vui lòng đăng nhập bằng Google, Facebook, VK, Twitch hoặc Steam."
"Login", "Đăng nhập"
"ERROR", "LỖI"
"Please refresh your browser window", "Vui lòng tải lại cửa sổ trình duyệt"
"Please restart the app", "Vui lòng khởi động lại ứng dụng"
"Players Online", "Người chơi trực tuyến"
"Unable to connect", "Không thể kết nối"
"Use SSL", "Sử dụng SSL"
"Choose a Unique Nick", "Chọn biệt danh duy nhất"
"Please choose a nickname to identify yourself.  Once you choose a nickname, it cannot be changed unless you purchase a new one.", "Vui lòng chọn biệt danh để xác định bạn. Sau khi chọn, không thể đổi trừ khi mua biệt danh mới."
"Quick Help", "Hỗ trợ nhanh"
"PLAYER", "NGƯỜI CHƠI"
"STATS", "THỐNG KÊ"
"View Full Stats", "Xem toàn bộ chỉ số"
"STORE", "CỬA HÀNG"
"Redeem Code...", "Nhập mã..."
"Grenade Launcher", "Súng phóng lựu"
"Smoke Grenade", "Lựu đạn khói"
"Tank", "Xe tăng"
"Heli", "Trực thăng"
"Heli Minigun", "Súng Minigun trực thăng"
"Tank Minigun", "Súng Minigun xe tăng"
"OK", "OK"
"Cancel", "Hủy"
"HELP", "TRỢ GIÚP"
"SETTINGS", "CÀI ĐẶT"
"Connect to a server to go on missions...", "Kết nối tới máy chủ để thực hiện nhiệm vụ..."
"Close", "Đóng"
"Buy Now", "Mua ngay"
"BUY NOW ON", "MUA NGAY TRÊN"
"20% off during launch week (Ends April 25th)", "Giảm 20% trong tuần ra mắt (Kết thúc ngày 25/4)"
"Includes 5000 Coins", "Bao gồm 5000 xu"
"Unique nick with color", "Tên độc quyền kèm màu sắc"
"2-5 times better frame rate than the browser version", "Tốc độ khung hình cao hơn 2-5 lần so với bản trình duyệt"
"Stereo sound", "Âm thanh stereo"
"Runs on PC, OSX, and Linux", "Chạy trên PC, OSX và Linux"
"Special Hazmat outfit only available with Steam purchase", "Trang phục Hazmat đặc biệt chỉ có khi mua trên Steam"
"Play Free", "Chơi miễn phí"
"Steam version features:", "Tính năng bản Steam:"
"Includes 2,500 Coins", "Bao gồm 2.500 xu"
"PLAY FREE ON", "CHƠI MIỄN PHÍ TRÊN"
"BROWSER", "TRÌNH DUYỆT"
"Vsync", "Đồng bộ Vsync"
"Reticule Color", "Màu tâm ngắm"
"Please join a new server", "Vui lòng tham gia máy chủ mới"
"Server is full, try another one", "Máy chủ đã đầy, hãy thử máy chủ khác"
"Connection dropped, unable to restore it", "Mất kết nối, không thể khôi phục"
"Join the WarBrokers Discord server", "Tham gia máy chủ Discord của WarBrokers"
"Ask the devs questions, get help,", "Hỏi nhà phát triển, nhận hỗ trợ,"
"talk with other players, and", "trò chuyện với người chơi khác, và"
"get a heads up on new features before", "biết trước về các tính năng mới trước khi"
"they are released to everyone else.", "chúng được phát hành cho mọi người."
"Battle Royale", "Sinh tồn"
"Join the WarBrokers Discord server.  Ask the devs questions, get help, talk with other players, and get a heads up on new features before they are released to everyone else.", "Tham gia máy chủ Discord của WarBrokers. Hỏi nhà phát triển, nhận hỗ trợ, trò chuyện với người chơi khác và biết trước các tính năng mới trước khi chúng được phát hành."
"ESCAPE", "THOÁT"
"SOUTHWEST", "TÂY NAM"
"Press Key For: ", "Nhấn phím cho:"
"Reset all keys", "Đặt lại tất cả phím"
"Forward", "Tiến"
"Back", "Lùi"
"Left", "Trái"
"Right", "Phải"
"to Enter Vehicle", "để vào phương tiện"
"to Pickup Package", "để nhặt gói hàng"
"to Change View", "để đổi góc nhìn"
"Menu", "Menu"
"Move Forward", "Di chuyển tới"
"Move Back", "Di chuyển lùi"
"Move Left", "Di chuyển trái"
"Move Right", "Di chuyển phải"
"Use", "Sử dụng"
"Flare", "Pháo sáng"
"Battle Royale Starts In", "Trận Sinh tồn bắt đầu sau"
"to Exit Plane", "để nhảy khỏi máy bay"
"to Disarm Bomb", "để gỡ bom"
"to Launch Missile", "để phóng tên lửa"
"Zoom Map", "Phóng to bản đồ"
"to Cancel", "để hủy"
"Jet", "Máy bay phản lực"
"Inventory", "Hành trang"
"Rocket", "Tên lửa"
"Machine Gun", "Súng máy"
"Afterburner", "Tăng lực"
"20% off during Steam Summer Sale (Ends July 5th)", "Giảm 20% trong đợt khuyến mãi hè Steam (Kết thúc ngày 5/7)"
"Fist", "Nắm đấm"
"Health", "Máu"
"Using", "Đang sử dụng"
"Kills Elo", "Elo tiêu diệt"
"Games Elo", "Elo trận đấu"
"Jet Rocket", "Tên lửa máy bay phản lực"
"Jet Homing", "Tên lửa tự dẫn máy bay phản lực"
"Jet Machinegun", "Súng máy máy bay phản lực"
"to Pickup", "để nhặt"
"REMAGEN", "REMAGEN"
"Small Health", "Máu nhỏ"
"Medium Health", "Máu vừa"
"Large Health", "Máu lớn"
"Blood Bag", "Túi máu"
"Pills", "Thuốc viên"
"Energy Can", "Nước tăng lực"
"Needle", "Kim tiêm"
"Leg Light Armor", "Giáp chân nhẹ"
"Medium Leg Armor", "Giáp chân vừa"
"Heavy Leg Armor", "Giáp chân nặng"
"Light Vest", "Áo giáp nhẹ"
"Medium Vest", "Áo giáp vừa"
"Heavy Vest", "Áo giáp nặng"
"Light Helmet", "Mũ bảo hiểm nhẹ"
"Medium Helmet", "Mũ bảo hiểm vừa"
"Heavy Helmet", "Mũ bảo hiểm nặng"
"Light Backpack", "Ba lô nhẹ"
"Medium Backpack", "Ba lô vừa"
"Heavy Backpack", "Ba lô nặng"
"100 Round Mag", "Băng đạn 100 viên"
"40 Round Mag", "Băng đạn 40 viên"
"50 Round Mag", "Băng đạn 50 viên"
"Fast Load Mag", "Băng đạn nạp nhanh"
"Scope", "Ống ngắm"
"Compensator", "Bộ giảm giật"
"Flash Reducer", "Bộ giảm chớp"
"Grip", "Tay cầm"
"Silencer", "Ống giảm thanh"
"Stock", "Báng súng"
"Laser", "Laser"
"Airhorn", "Còi hơi"
"Walkie Talkie", "Bộ đàm"
"Flare Gun", "Súng bắn pháo sáng"
"Teddy Bear", "Gấu bông"
"Walkie Talkie 2", "Bộ đàm 2"
"Walkie Talkie 3", "Bộ đàm 3"
"Dynamite Stick", "Thuốc nổ thỏi"
"Dynamite Bundle", "Thuốc nổ bó"
"Binoculars", "Ống nhòm"
"Duct Tape", "Băng keo vải"
"Tape", "Băng keo"
"Books", "Sách"
"Book", "Quyển sách"
"Magazines", "Tạp chí"
"Magazines 2", "Tạp chí 2"
"Bear Trap", "Bẫy gấu"
"C4", "C4"
"Claymore", "Mìn Claymore"
"Gas Bottle", "Bình gas"
"Gas Bottle 2", "Bình gas 2"
"Jar", "Hũ"
"Water Bottle", "Chai nước"
"Water Container", "Bình chứa nước"
"Mouse Trap", "Bẫy chuột"
"Pills 2", "Thuốc viên 2"
"Mouse: Fire, Zoom", "Chuột: Bắn, Phóng to"
"Draw Everything", "Vẽ tất cả"
"Item Use Cancelled", "Hủy sử dụng vật phẩm"
"You already have a better one!", "Bạn đã có cái tốt hơn rồi!"
"press ENTER or SHIFT", "nhấn ENTER hoặc SHIFT"
"DISARM BOMBS!", "GỠ BOM!"
"LAUNCH MISSILES!", "PHÓNG TÊN LỬA!"
"STOP ENEMY!", "CHẶN ĐỊCH!"
"SURVIVAL", "SINH TỒN"
"DELIVER PACKAGE!", "GIAO GÓI HÀNG!"
"GET PACKAGE!", "LẤY GÓI HÀNG!"
"DEFEND PACKAGE!", "BẢO VỆ GÓI HÀNG!"
"STOP PACKAGE!", "CHẶN GÓI HÀNG!"
"Waiting on players", "Đang chờ người chơi"
"Hold", "Giữ"
"for large map", "để mở bản đồ lớn"
"Remain", "Còn lại"
"You Win!", "Bạn đã thắng!"
"Click on map to parachute in on that spot", "Nhấn vào bản đồ để nhảy dù xuống vị trí đó"
"Heavy", "Hạng nặng"
"Scope 2x", "Ống ngắm 2x"
"Scope 4x", "Ống ngắm 4x"
"Scope 6x", "Ống ngắm 6x"
"Sniper Scope", "Ống ngắm bắn tỉa"
"Chickens don't really win anything but the honor of being in your stomach.", "Gà thật ra chẳng thắng gì ngoài vinh dự nằm trong bụng bạn."
"Due to budget cuts, full chicken dinners are no longer available.  Here is a chicken nugget.", "Do cắt giảm ngân sách, bữa tối gà nguyên con không còn nữa. Đây là một miếng gà nugget."
"Congratulations! In an effort to decrease waste, War Brokers has awarded you a slightly used chicken dinner.", "Chúc mừng! Nhằm giảm lãng phí, War Brokers tặng bạn một bữa tối gà đã dùng hơi chút."
"You know even I amaze myself sometimes.", "Bạn biết đấy, đôi khi chính tôi cũng làm mình kinh ngạc."
"Wow!  You just survived all of that!", "Wow! Bạn vừa sống sót sau tất cả những thứ đó!"
"Can you hear me now?", "Giờ bạn nghe thấy tôi chưa?"
"Winner - It's your lucky day!", "Người thắng - Hôm nay là ngày may mắn của bạn!"
"Nice Win! Next time will be harder.", "Chiến thắng đẹp! Lần sau sẽ khó hơn."
"Cheating detected.  Account banned.... Just kidding.", "Phát hiện gian lận. Tài khoản bị khóa... Đùa thôi."
"Winner Winner Sausage Dinner!", "Thắng rồi, bữa tối xúc xích đây!"
"Wow, we've never seen anyone win in that particular way, in that particular spot, against those particular enemies, under those particular conditions before!", "Wow, chúng tôi chưa từng thấy ai thắng theo cách đó, ở chỗ đó, chống lại kẻ thù đó, trong điều kiện đó bao giờ!"
"You've won! Tip: Keep doing that.", "Bạn đã thắng! Mẹo: Cứ tiếp tục như thế."
"Winner Winner losers for dinner!", "Thắng rồi, ăn tối bằng kẻ thua!"
"You Wrecked them!", "Bạn đã nghiền nát chúng!"
"Next time, don't forget the bubblegum!", "Lần sau đừng quên kẹo cao su!"
"You've won a haiku.  I'm terrible at haikus.  So, here goes nothing... Wait...", "Bạn đã thắng một bài haiku. Tôi dở tệ về haiku. Nên đây là... Chờ đã..."
"Congratulations, you've won these very words!", "Chúc mừng, bạn vừa thắng chính những dòng chữ này!"
"I'm sorry, we don't serve poultry here.  Only justice.", "Xin lỗi, ở đây chúng tôi không phục vụ gia cầm. Chỉ có công lý."
"Studies have shown that your chances of losing are still 99.99999%.", "Nghiên cứu cho thấy khả năng bạn thua vẫn là 99.99999%."
"Please proceed to the nuclear plant for your cake.", "Vui lòng đến nhà máy hạt nhân để nhận bánh của bạn."
"There is a party for you at Joja's Pizza.  Everyone still alive will be there!", "Có một bữa tiệc cho bạn ở Joja's Pizza. Tất cả những ai còn sống sẽ có mặt!"
"Winner winner vulture dinner!  (Please note vulture stomachs may contain prior enemies...)", "Thắng rồi, bữa tối kền kền! (Xin lưu ý dạ dày kền kền có thể chứa kẻ thù trước đó...)"
"Winner!  We are required to inform you that your chicken dinner may contain lead bullets.", "Người thắng! Chúng tôi phải thông báo rằng bữa tối gà của bạn có thể chứa đạn chì."
"Congratulations!  Please do your part and clean the area of all shell casings.  Thank you.", "Chúc mừng! Hãy góp phần dọn sạch vỏ đạn ở khu vực. Cảm ơn."
"Fun Fact: You didn't lose!", "Sự thật thú vị: Bạn đã không thua!"
"Please remember to remove your Kelvar BEFORE your dinner!", "Hãy nhớ tháo áo chống đạn trước khi ăn tối!"
"Haikus are the worst, and you deserve something more.  However, you lost.", "Haiku là tệ nhất, và bạn xứng đáng hơn thế. Tuy nhiên, bạn đã thua."
"Your consciousness is now being uploaded to the nearest crash test dummy unit...", "Ý thức của bạn đang được tải lên ma-nơ-canh thử nghiệm gần nhất..."
"The cake was a lie.", "Cái bánh là một lời nói dối."
"All these games are lost. Like tears, in rain.", "Tất cả những trận đấu này đã mất. Như nước mắt, trong mưa."
"We regret to inform you that our previous message on using your dead enemies as floatation devices in case of emergency was, in fact, not true.  We apologize for the misinformation.", "Chúng tôi rất tiếc phải thông báo rằng thông điệp trước về việc dùng xác kẻ thù làm phao cứu hộ là không đúng sự thật. Xin lỗi vì thông tin sai."
"This is going on your permanent record.", "Điều này sẽ được ghi vào hồ sơ vĩnh viễn của bạn."
